qseqid	sseqid	qlen	slen	length	evalue	ppos	
AT1G54830.3	XM_002868756.1	217	196	123	5.26e-25	63.41
AT1G54830.3	XM_002868759.1	217	249	147	2.86e-21	51.70
AT1G54830.3	XM_002882731.1	217	293	78	2.44e-12	62.82
AT1G54830.3	XM_002873248.1	217	302	78	7.30e-11	61.54
AT1G54830.3	XM_002863631.1	217	132	78	6.67e-09	58.97
AT1G54830.3	XM_002880873.1	217	254	79	0.016	55.70
AT1G54830.3	XM_002870822.1	217	150	31	0.071	64.52
AT1G54830.3	XM_002868678.1	217	143	76	0.074	42.11
AT1G54830.3	XM_002867472.1	217	132	77	0.12	44.16
AT1G54830.3	XM_002864303.1	217	131	77	0.17	44.16
AT1G54830.3	XM_002892429.1	217	143	76	0.21	42.11
AT1G54830.3	XM_002879603.1	217	176	73	0.27	46.58
AT1G54830.3	XM_002885835.1	217	214	74	0.36	45.95
AT1G54830.3	XM_002887641.1	217	881	51	0.42	41.18
AT1G54830.3	XM_002892381.1	217	243	53	0.44	60.38
AT1G54830.3	XM_002877867.1	217	178	73	0.84	46.58
AT1G54830.3	XM_002891567.1	217	133	77	0.96	42.86
AT1G54830.3	XM_002873904.1	217	233	56	1.1	53.57
AT1G54830.3	XM_002879725.1	217	142	73	1.2	46.58
AT1G54830.3	XM_002894553.1	217	210	63	1.2	44.44
AT1G54830.3	XM_002883218.1	217	133	63	2.0	42.86
AT1G54830.3	XM_002882087.1	217	152	75	3.7	45.33
AT1G54830.3	XM_002876425.1	217	686	39	6.2	46.15
AT1G54830.3	XM_002884893.1	217	476	21	7.7	61.90
AT1G54830.3	XM_002877417.1	217	390	23	9.4	56.52
AT1G54830.3	XM_002890112.1	217	403	57	9.4	47.37
AT1G08970.1	XM_002889680.1	231	232	231	1.37e-172	99.13
AT1G08970.1	XM_002891867.1	231	218	231	8.89e-121	84.85
AT1G08970.1	XM_002877573.1	231	233	167	9.94e-66	75.45
AT1G08970.1	XM_002891832.1	231	199	125	1.49e-65	88.00
AT1G08970.1	XM_002866511.1	231	250	170	8.05e-59	71.76
AT1G08970.1	XM_002865766.1	231	175	168	1.10e-43	63.69
AT1G08970.1	XM_002865764.1	231	202	149	1.27e-42	66.44
AT1G08970.1	XM_002865768.1	231	188	170	1.76e-40	60.59
AT1G08970.1	XM_002885886.1	231	114	111	2.66e-35	72.07
AT1G08970.1	XM_002865763.1	231	211	178	2.18e-32	58.99
AT1G08970.1	XM_002868756.1	231	196	104	6.07e-24	68.27
AT1G08970.1	XM_002868759.1	231	249	122	9.06e-22	59.84
AT1G08970.1	XM_002882731.1	231	293	78	3.84e-12	62.82
AT1G08970.1	XM_002873248.1	231	302	78	1.20e-10	61.54
AT1G08970.1	XM_002863631.1	231	132	78	7.44e-09	58.97
AT1G08970.1	XM_002880873.1	231	254	79	0.017	55.70
AT1G08970.1	XM_002870822.1	231	150	31	0.069	64.52
AT1G08970.1	XM_002868678.1	231	143	76	0.094	42.11
AT1G08970.1	XM_002867472.1	231	132	77	0.17	44.16
AT1G08970.1	XM_002864303.1	231	131	77	0.20	44.16
AT1G08970.1	XM_002892429.1	231	143	76	0.27	42.11
AT1G08970.1	XM_002879603.1	231	176	73	0.29	46.58
AT1G08970.1	XM_002892381.1	231	243	53	0.39	60.38
AT1G08970.1	XM_002885835.1	231	214	73	0.60	46.58
AT1G08970.1	XM_002877867.1	231	178	73	0.95	46.58
AT1G08970.1	XM_002879725.1	231	142	73	1.2	46.58
AT1G08970.1	XM_002891567.1	231	133	77	1.3	42.86
AT1G08970.1	XM_002873904.1	231	233	56	1.4	53.57
AT1G08970.1	XM_002894553.1	231	210	63	1.9	44.44
AT1G08970.1	XM_002883218.1	231	133	77	2.5	42.86
AT1G08970.1	XM_002877384.1	231	681	50	4.0	48.00
AT1G08970.1	XM_002864397.1	231	687	46	4.4	54.35
AT1G08970.1	XM_002882087.1	231	152	75	4.9	45.33
AT1G08970.1	XM_002881220.1	231	1121	103	5.0	45.63
AT1G08970.1	XM_002876662.1	231	404	105	6.6	45.71
AT1G08970.1	XM_002878287.1	231	316	34	7.5	50.00
AT1G08970.1	XM_002890231.1	231	702	57	8.1	42.11
AT1G08970.2	XM_002889680.1	231	232	231	1.37e-172	99.13
AT1G08970.2	XM_002891867.1	231	218	231	8.89e-121	84.85
AT1G08970.2	XM_002877573.1	231	233	167	9.94e-66	75.45
AT1G08970.2	XM_002891832.1	231	199	125	1.49e-65	88.00
AT1G08970.2	XM_002866511.1	231	250	170	8.05e-59	71.76
AT1G08970.2	XM_002865766.1	231	175	168	1.10e-43	63.69
AT1G08970.2	XM_002865764.1	231	202	149	1.27e-42	66.44
AT1G08970.2	XM_002865768.1	231	188	170	1.76e-40	60.59
AT1G08970.2	XM_002885886.1	231	114	111	2.66e-35	72.07
AT1G08970.2	XM_002865763.1	231	211	178	2.18e-32	58.99
AT1G08970.2	XM_002868756.1	231	196	104	6.07e-24	68.27
AT1G08970.2	XM_002868759.1	231	249	122	9.06e-22	59.84
AT1G08970.2	XM_002882731.1	231	293	78	3.84e-12	62.82
AT1G08970.2	XM_002873248.1	231	302	78	1.20e-10	61.54
AT1G08970.2	XM_002863631.1	231	132	78	7.44e-09	58.97
AT1G08970.2	XM_002880873.1	231	254	79	0.017	55.70
AT1G08970.2	XM_002870822.1	231	150	31	0.069	64.52
AT1G08970.2	XM_002868678.1	231	143	76	0.094	42.11
AT1G08970.2	XM_002867472.1	231	132	77	0.17	44.16
AT1G08970.2	XM_002864303.1	231	131	77	0.20	44.16
AT1G08970.2	XM_002892429.1	231	143	76	0.27	42.11
AT1G08970.2	XM_002879603.1	231	176	73	0.29	46.58
AT1G08970.2	XM_002892381.1	231	243	53	0.39	60.38
AT1G08970.2	XM_002885835.1	231	214	73	0.60	46.58
AT1G08970.2	XM_002877867.1	231	178	73	0.95	46.58
AT1G08970.2	XM_002879725.1	231	142	73	1.2	46.58
AT1G08970.2	XM_002891567.1	231	133	77	1.3	42.86
AT1G08970.2	XM_002873904.1	231	233	56	1.4	53.57
AT1G08970.2	XM_002894553.1	231	210	63	1.9	44.44
AT1G08970.2	XM_002883218.1	231	133	77	2.5	42.86
AT1G08970.2	XM_002877384.1	231	681	50	4.0	48.00
AT1G08970.2	XM_002864397.1	231	687	46	4.4	54.35
AT1G08970.2	XM_002882087.1	231	152	75	4.9	45.33
AT1G08970.2	XM_002881220.1	231	1121	103	5.0	45.63
AT1G08970.2	XM_002876662.1	231	404	105	6.6	45.71
AT1G08970.2	XM_002878287.1	231	316	34	7.5	50.00
AT1G08970.2	XM_002890231.1	231	702	57	8.1	42.11
AT1G08970.3	XM_002889680.1	231	232	231	1.37e-172	99.13
AT1G08970.3	XM_002891867.1	231	218	231	8.89e-121	84.85
AT1G08970.3	XM_002877573.1	231	233	167	9.94e-66	75.45
AT1G08970.3	XM_002891832.1	231	199	125	1.49e-65	88.00
AT1G08970.3	XM_002866511.1	231	250	170	8.05e-59	71.76
AT1G08970.3	XM_002865766.1	231	175	168	1.10e-43	63.69
AT1G08970.3	XM_002865764.1	231	202	149	1.27e-42	66.44
AT1G08970.3	XM_002865768.1	231	188	170	1.76e-40	60.59
AT1G08970.3	XM_002885886.1	231	114	111	2.66e-35	72.07
AT1G08970.3	XM_002865763.1	231	211	178	2.18e-32	58.99
AT1G08970.3	XM_002868756.1	231	196	104	6.07e-24	68.27
AT1G08970.3	XM_002868759.1	231	249	122	9.06e-22	59.84
AT1G08970.3	XM_002882731.1	231	293	78	3.84e-12	62.82
AT1G08970.3	XM_002873248.1	231	302	78	1.20e-10	61.54
AT1G08970.3	XM_002863631.1	231	132	78	7.44e-09	58.97
AT1G08970.3	XM_002880873.1	231	254	79	0.017	55.70
AT1G08970.3	XM_002870822.1	231	150	31	0.069	64.52
AT1G08970.3	XM_002868678.1	231	143	76	0.094	42.11
AT1G08970.3	XM_002867472.1	231	132	77	0.17	44.16
AT1G08970.3	XM_002864303.1	231	131	77	0.20	44.16
AT1G08970.3	XM_002892429.1	231	143	76	0.27	42.11
AT1G08970.3	XM_002879603.1	231	176	73	0.29	46.58
AT1G08970.3	XM_002892381.1	231	243	53	0.39	60.38
AT1G08970.3	XM_002885835.1	231	214	73	0.60	46.58
AT1G08970.3	XM_002877867.1	231	178	73	0.95	46.58
AT1G08970.3	XM_002879725.1	231	142	73	1.2	46.58
AT1G08970.3	XM_002891567.1	231	133	77	1.3	42.86
AT1G08970.3	XM_002873904.1	231	233	56	1.4	53.57
AT1G08970.3	XM_002894553.1	231	210	63	1.9	44.44
AT1G08970.3	XM_002883218.1	231	133	77	2.5	42.86
AT1G08970.3	XM_002877384.1	231	681	50	4.0	48.00
AT1G08970.3	XM_002864397.1	231	687	46	4.4	54.35
AT1G08970.3	XM_002882087.1	231	152	75	4.9	45.33
AT1G08970.3	XM_002881220.1	231	1121	103	5.0	45.63
AT1G08970.3	XM_002876662.1	231	404	105	6.6	45.71
AT1G08970.3	XM_002878287.1	231	316	34	7.5	50.00
AT1G08970.3	XM_002890231.1	231	702	57	8.1	42.11
AT1G08970.4	XM_002889680.1	231	232	231	1.37e-172	99.13
AT1G08970.4	XM_002891867.1	231	218	231	8.89e-121	84.85
AT1G08970.4	XM_002877573.1	231	233	167	9.94e-66	75.45
AT1G08970.4	XM_002891832.1	231	199	125	1.49e-65	88.00
AT1G08970.4	XM_002866511.1	231	250	170	8.05e-59	71.76
AT1G08970.4	XM_002865766.1	231	175	168	1.10e-43	63.69
AT1G08970.4	XM_002865764.1	231	202	149	1.27e-42	66.44
AT1G08970.4	XM_002865768.1	231	188	170	1.76e-40	60.59
AT1G08970.4	XM_002885886.1	231	114	111	2.66e-35	72.07
AT1G08970.4	XM_002865763.1	231	211	178	2.18e-32	58.99
AT1G08970.4	XM_002868756.1	231	196	104	6.07e-24	68.27
AT1G08970.4	XM_002868759.1	231	249	122	9.06e-22	59.84
AT1G08970.4	XM_002882731.1	231	293	78	3.84e-12	62.82
AT1G08970.4	XM_002873248.1	231	302	78	1.20e-10	61.54
AT1G08970.4	XM_002863631.1	231	132	78	7.44e-09	58.97
AT1G08970.4	XM_002880873.1	231	254	79	0.017	55.70
AT1G08970.4	XM_002870822.1	231	150	31	0.069	64.52
AT1G08970.4	XM_002868678.1	231	143	76	0.094	42.11
AT1G08970.4	XM_002867472.1	231	132	77	0.17	44.16
AT1G08970.4	XM_002864303.1	231	131	77	0.20	44.16
AT1G08970.4	XM_002892429.1	231	143	76	0.27	42.11
AT1G08970.4	XM_002879603.1	231	176	73	0.29	46.58
AT1G08970.4	XM_002892381.1	231	243	53	0.39	60.38
AT1G08970.4	XM_002885835.1	231	214	73	0.60	46.58
AT1G08970.4	XM_002877867.1	231	178	73	0.95	46.58
AT1G08970.4	XM_002879725.1	231	142	73	1.2	46.58
AT1G08970.4	XM_002891567.1	231	133	77	1.3	42.86
AT1G08970.4	XM_002873904.1	231	233	56	1.4	53.57
AT1G08970.4	XM_002894553.1	231	210	63	1.9	44.44
AT1G08970.4	XM_002883218.1	231	133	77	2.5	42.86
AT1G08970.4	XM_002877384.1	231	681	50	4.0	48.00
AT1G08970.4	XM_002864397.1	231	687	46	4.4	54.35
AT1G08970.4	XM_002882087.1	231	152	75	4.9	45.33
AT1G08970.4	XM_002881220.1	231	1121	103	5.0	45.63
AT1G08970.4	XM_002876662.1	231	404	105	6.6	45.71
AT1G08970.4	XM_002878287.1	231	316	34	7.5	50.00
AT1G08970.4	XM_002890231.1	231	702	57	8.1	42.11
AT1G56170.1	XM_002891832.1	199	199	200	4.81e-122	94.50
AT1G56170.1	XM_002889680.1	199	232	216	7.91e-69	68.52
AT1G56170.1	XM_002891867.1	199	218	124	1.79e-65	85.48
AT1G56170.1	XM_002877573.1	199	233	138	3.03e-65	84.06
AT1G56170.1	XM_002866511.1	199	250	100	1.93e-57	92.00
AT1G56170.1	XM_002865764.1	199	202	128	6.32e-44	72.66
AT1G56170.1	XM_002865766.1	199	175	117	5.52e-41	77.78
AT1G56170.1	XM_002865768.1	199	188	161	2.56e-40	63.98
AT1G56170.1	XM_002885886.1	199	114	114	9.79e-37	76.32
AT1G56170.1	XM_002865763.1	199	211	104	5.22e-33	75.96
AT1G56170.1	XM_002868756.1	199	196	100	6.97e-27	73.00
AT1G56170.1	XM_002868759.1	199	249	76	8.84e-21	76.32
AT1G56170.1	XM_002882731.1	199	293	78	8.83e-12	61.54
AT1G56170.1	XM_002873248.1	199	302	77	2.72e-10	61.04
AT1G56170.1	XM_002863631.1	199	132	78	5.61e-09	60.26
AT1G56170.1	XM_002870822.1	199	150	31	0.063	64.52
AT1G56170.1	XM_002879603.1	199	176	96	0.11	46.88
AT1G56170.1	XM_002881220.1	199	1121	68	0.11	52.94
AT1G56170.1	XM_002880873.1	199	254	79	0.14	55.70
AT1G56170.1	XM_002885835.1	199	214	76	0.25	46.05
AT1G56170.1	XM_002868678.1	199	143	51	0.37	45.10
AT1G56170.1	XM_002867472.1	199	132	50	0.58	46.00
AT1G56170.1	XM_002864303.1	199	131	50	0.70	46.00
AT1G56170.1	XM_002892381.1	199	243	135	0.80	40.74
AT1G56170.1	XM_002877867.1	199	178	73	0.90	47.95
AT1G56170.1	XM_002892429.1	199	143	51	1.0	45.10
AT1G56170.1	XM_002867642.1	199	445	31	1.3	54.84
AT1G56170.1	XM_002882087.1	199	152	72	1.3	45.83
AT1G56170.1	XM_002879725.1	199	142	73	1.9	47.95
AT1G56170.1	XM_002881387.1	199	480	58	1.9	53.45
AT1G56170.1	XM_002894553.1	199	210	50	2.2	46.00
AT1G56170.1	XM_002891567.1	199	133	50	4.4	44.00
AT1G56170.1	XM_002883218.1	199	133	50	5.5	44.00
AT1G56170.1	XM_002877836.1	199	473	58	6.5	51.72
AT1G56170.1	XM_002864127.1	199	240	65	7.7	44.62
AT1G56170.1	XM_002873904.1	199	233	77	7.8	42.86
AT1G56170.1	XM_002865819.1	199	1124	35	8.9	54.29
AT1G56170.2	XM_002891832.1	199	199	200	4.81e-122	94.50
AT1G56170.2	XM_002889680.1	199	232	216	7.91e-69	68.52
AT1G56170.2	XM_002891867.1	199	218	124	1.79e-65	85.48
AT1G56170.2	XM_002877573.1	199	233	138	3.03e-65	84.06
AT1G56170.2	XM_002866511.1	199	250	100	1.93e-57	92.00
AT1G56170.2	XM_002865764.1	199	202	128	6.32e-44	72.66
AT1G56170.2	XM_002865766.1	199	175	117	5.52e-41	77.78
AT1G56170.2	XM_002865768.1	199	188	161	2.56e-40	63.98
AT1G56170.2	XM_002885886.1	199	114	114	9.79e-37	76.32
AT1G56170.2	XM_002865763.1	199	211	104	5.22e-33	75.96
AT1G56170.2	XM_002868756.1	199	196	100	6.97e-27	73.00
AT1G56170.2	XM_002868759.1	199	249	76	8.84e-21	76.32
AT1G56170.2	XM_002882731.1	199	293	78	8.83e-12	61.54
AT1G56170.2	XM_002873248.1	199	302	77	2.72e-10	61.04
AT1G56170.2	XM_002863631.1	199	132	78	5.61e-09	60.26
AT1G56170.2	XM_002870822.1	199	150	31	0.063	64.52
AT1G56170.2	XM_002879603.1	199	176	96	0.11	46.88
AT1G56170.2	XM_002881220.1	199	1121	68	0.11	52.94
AT1G56170.2	XM_002880873.1	199	254	79	0.14	55.70
AT1G56170.2	XM_002885835.1	199	214	76	0.25	46.05
AT1G56170.2	XM_002868678.1	199	143	51	0.37	45.10
AT1G56170.2	XM_002867472.1	199	132	50	0.58	46.00
AT1G56170.2	XM_002864303.1	199	131	50	0.70	46.00
AT1G56170.2	XM_002892381.1	199	243	135	0.80	40.74
AT1G56170.2	XM_002877867.1	199	178	73	0.90	47.95
AT1G56170.2	XM_002892429.1	199	143	51	1.0	45.10
AT1G56170.2	XM_002867642.1	199	445	31	1.3	54.84
AT1G56170.2	XM_002882087.1	199	152	72	1.3	45.83
AT1G56170.2	XM_002879725.1	199	142	73	1.9	47.95
AT1G56170.2	XM_002881387.1	199	480	58	1.9	53.45
AT1G56170.2	XM_002894553.1	199	210	50	2.2	46.00
AT1G56170.2	XM_002891567.1	199	133	50	4.4	44.00
AT1G56170.2	XM_002883218.1	199	133	50	5.5	44.00
AT1G56170.2	XM_002877836.1	199	473	58	6.5	51.72
AT1G56170.2	XM_002864127.1	199	240	65	7.7	44.62
AT1G56170.2	XM_002873904.1	199	233	77	7.8	42.86
AT1G56170.2	XM_002865819.1	199	1124	35	8.9	54.29
AT3G48590.1	XM_002877573.1	234	233	235	3.52e-167	97.87
AT3G48590.1	XM_002866511.1	234	250	224	1.02e-112	88.84
AT3G48590.1	XM_002891867.1	234	218	159	1.11e-69	77.36
AT3G48590.1	XM_002889680.1	234	232	158	8.81e-66	76.58
AT3G48590.1	XM_002891832.1	234	199	127	8.03e-64	84.25
AT3G48590.1	XM_002865764.1	234	202	183	2.76e-50	62.30
AT3G48590.1	XM_002865768.1	234	188	186	3.86e-45	62.90
AT3G48590.1	XM_002865766.1	234	175	189	8.28e-44	60.32
AT3G48590.1	XM_002865763.1	234	211	190	2.82e-38	56.32
AT3G48590.1	XM_002885886.1	234	114	106	6.32e-36	77.36
AT3G48590.1	XM_002868756.1	234	196	100	5.53e-25	71.00
AT3G48590.1	XM_002868759.1	234	249	110	1.93e-20	61.82
AT3G48590.1	XM_002882731.1	234	293	79	5.77e-12	62.03
AT3G48590.1	XM_002873248.1	234	302	79	2.17e-10	60.76
AT3G48590.1	XM_002863631.1	234	132	79	8.50e-09	59.49
AT3G48590.1	XM_002892381.1	234	243	130	0.012	43.08
AT3G48590.1	XM_002880873.1	234	254	80	0.014	56.25
AT3G48590.1	XM_002870822.1	234	150	31	0.019	64.52
AT3G48590.1	XM_002868678.1	234	143	77	0.20	42.86
AT3G48590.1	XM_002867472.1	234	132	74	0.50	43.24
AT3G48590.1	XM_002892429.1	234	143	77	0.51	42.86
AT3G48590.1	XM_002864303.1	234	131	74	0.80	43.24
AT3G48590.1	XM_002865819.1	234	1124	35	0.88	54.29
AT3G48590.1	XM_002873904.1	234	233	54	1.9	50.00
AT3G48590.1	XM_002883783.1	234	112	45	2.2	51.11
AT3G48590.1	XM_002890326.1	234	969	79	3.6	53.16
AT3G48590.1	XM_002891567.1	234	133	68	3.9	44.12
AT3G48590.1	XM_002867149.1	234	1523	64	4.3	39.06
AT3G48590.1	XM_002881220.1	234	1121	89	4.6	47.19
AT3G48590.1	XM_002880064.1	234	164	37	5.3	45.95
AT3G48590.1	XM_002885835.1	234	214	76	5.5	46.05
AT3G48590.1	XM_002883218.1	234	133	68	6.2	44.12
AT3G48590.1	XM_002894553.1	234	210	52	7.3	48.08
AT3G48590.1	XM_002870967.1	234	76	30	8.9	53.33
AT3G48590.1	XM_002891543.1	234	522	51	9.3	50.98
AT3G48590.1	XM_002882719.1	234	153	55	9.6	52.73
AT3G12480.1	XM_002882731.1	293	293	282	1.74e-165	94.33
AT3G12480.1	XM_002873248.1	293	302	299	4.60e-98	68.23
AT3G12480.1	XM_002873904.1	293	233	267	8.05e-32	50.19
AT3G12480.1	XM_002865766.1	293	175	89	1.13e-12	58.43
AT3G12480.1	XM_002891867.1	293	218	78	2.11e-12	62.82
AT3G12480.1	XM_002877573.1	293	233	79	4.36e-12	62.03
AT3G12480.1	XM_002889680.1	293	232	78	5.43e-12	62.82
AT3G12480.1	XM_002866511.1	293	250	79	1.08e-11	62.03
AT3G12480.1	XM_002891832.1	293	199	78	1.10e-11	61.54
AT3G12480.1	XM_002885886.1	293	114	79	3.99e-11	55.70
AT3G12480.1	XM_002865768.1	293	188	76	9.09e-11	57.89
AT3G12480.1	XM_002865763.1	293	211	80	9.45e-10	60.00
AT3G12480.1	XM_002865764.1	293	202	79	1.48e-09	55.70
AT3G12480.1	XM_002863631.1	293	132	73	2.25e-08	61.64
AT3G12480.1	XM_002868756.1	293	196	89	3.24e-06	51.69
AT3G12480.1	XM_002868759.1	293	249	85	5.66e-04	58.82
