qseqid	sseqid	qlen	slen	length	evalue	ppos	qstart	qend	sstart	send	sframe
AT1G54830.3	NW_003302553.1	217	24464547	29	1.6	68.97	74	102	4997835	4997912	3
AT1G54830.3	NW_003302549.1	217	24649197	59	2.42e-12	72.88	89	147	24360333	24360509	3
AT1G54830.3	NW_003302549.1	217	24649197	61	3.09e-10	72.13	87	147	24404746	24404928	1
AT1G54830.3	NW_003302549.1	217	24649197	74	2.17e-05	55.41	71	144	24402742	24402521	-3
AT1G54830.3	NW_003302549.1	217	24649197	48	0.74	56.25	102	149	24396193	24396336	1
AT1G54830.3	NW_003302550.1	217	25113588	29	1.9	68.97	74	102	2700858	2700781	-1
AT1G08970.1	NW_003302555.1	231	33132539	176	5.29e-87	98.86	1	176	3409931	3410458	2
AT1G08970.1	NW_003302555.1	231	33132539	231	7.15e-73	73.59	1	231	31134156	31134806	3
AT1G08970.1	NW_003302555.1	231	33132539	113	3.11e-56	92.92	63	175	29761059	29761394	3
AT1G08970.1	NW_003302551.1	231	21221946	108	4.90e-51	89.81	63	168	13893588	13893265	-1
AT1G08970.1	NW_003302548.1	231	22951293	96	5.93e-49	92.71	63	158	20967519	20967232	-1
AT1G08970.1	NW_003302548.1	231	22951293	94	1.41e-34	82.98	67	160	14017030	14016749	-3
AT1G08970.1	NW_003302548.1	231	22951293	93	6.81e-32	81.72	68	160	14028294	14028016	-1
AT1G08970.1	NW_003302548.1	231	22951293	89	6.40e-30	82.02	68	156	14038491	14038225	-1
AT1G08970.1	NW_003302548.1	231	22951293	93	1.90e-26	79.57	70	159	14013853	14013575	-3
AT1G08970.1	NW_003302548.1	231	22951293	78	7.10e-07	58.97	81	157	4615749	4615982	3
AT1G08970.1	NW_003302553.1	231	24464547	92	5.33e-28	77.17	68	159	19314048	19313773	-1
AT1G08970.1	NW_003302553.1	231	24464547	29	2.3	68.97	84	112	4997835	4997912	3
AT1G08970.1	NW_003302549.1	231	24649197	59	3.02e-12	72.88	99	157	24360333	24360509	3
AT1G08970.1	NW_003302549.1	231	24649197	61	5.81e-10	72.13	97	157	24404746	24404928	1
AT1G08970.1	NW_003302549.1	231	24649197	74	2.05e-05	55.41	81	154	24402742	24402521	-3
AT1G08970.1	NW_003302549.1	231	24649197	48	0.81	56.25	112	159	24396193	24396336	1
AT1G08970.1	NW_003302550.1	231	25113588	29	2.5	68.97	84	112	2700858	2700781	-1
AT1G08970.2	NW_003302555.1	231	33132539	176	5.29e-87	98.86	1	176	3409931	3410458	2
AT1G08970.2	NW_003302555.1	231	33132539	231	7.15e-73	73.59	1	231	31134156	31134806	3
AT1G08970.2	NW_003302555.1	231	33132539	113	3.11e-56	92.92	63	175	29761059	29761394	3
AT1G08970.2	NW_003302551.1	231	21221946	108	4.90e-51	89.81	63	168	13893588	13893265	-1
AT1G08970.2	NW_003302548.1	231	22951293	96	5.93e-49	92.71	63	158	20967519	20967232	-1
AT1G08970.2	NW_003302548.1	231	22951293	94	1.41e-34	82.98	67	160	14017030	14016749	-3
AT1G08970.2	NW_003302548.1	231	22951293	93	6.81e-32	81.72	68	160	14028294	14028016	-1
AT1G08970.2	NW_003302548.1	231	22951293	89	6.40e-30	82.02	68	156	14038491	14038225	-1
AT1G08970.2	NW_003302548.1	231	22951293	93	1.90e-26	79.57	70	159	14013853	14013575	-3
AT1G08970.2	NW_003302548.1	231	22951293	78	7.10e-07	58.97	81	157	4615749	4615982	3
AT1G08970.2	NW_003302553.1	231	24464547	92	5.33e-28	77.17	68	159	19314048	19313773	-1
AT1G08970.2	NW_003302553.1	231	24464547	29	2.3	68.97	84	112	4997835	4997912	3
AT1G08970.2	NW_003302549.1	231	24649197	59	3.02e-12	72.88	99	157	24360333	24360509	3
AT1G08970.2	NW_003302549.1	231	24649197	61	5.81e-10	72.13	97	157	24404746	24404928	1
AT1G08970.2	NW_003302549.1	231	24649197	74	2.05e-05	55.41	81	154	24402742	24402521	-3
AT1G08970.2	NW_003302549.1	231	24649197	48	0.81	56.25	112	159	24396193	24396336	1
AT1G08970.2	NW_003302550.1	231	25113588	29	2.5	68.97	84	112	2700858	2700781	-1
AT1G08970.3	NW_003302555.1	231	33132539	176	5.29e-87	98.86	1	176	3409931	3410458	2
AT1G08970.3	NW_003302555.1	231	33132539	231	7.15e-73	73.59	1	231	31134156	31134806	3
AT1G08970.3	NW_003302555.1	231	33132539	113	3.11e-56	92.92	63	175	29761059	29761394	3
AT1G08970.3	NW_003302551.1	231	21221946	108	4.90e-51	89.81	63	168	13893588	13893265	-1
AT1G08970.3	NW_003302548.1	231	22951293	96	5.93e-49	92.71	63	158	20967519	20967232	-1
AT1G08970.3	NW_003302548.1	231	22951293	94	1.41e-34	82.98	67	160	14017030	14016749	-3
AT1G08970.3	NW_003302548.1	231	22951293	93	6.81e-32	81.72	68	160	14028294	14028016	-1
AT1G08970.3	NW_003302548.1	231	22951293	89	6.40e-30	82.02	68	156	14038491	14038225	-1
AT1G08970.3	NW_003302548.1	231	22951293	93	1.90e-26	79.57	70	159	14013853	14013575	-3
AT1G08970.3	NW_003302548.1	231	22951293	78	7.10e-07	58.97	81	157	4615749	4615982	3
AT1G08970.3	NW_003302553.1	231	24464547	92	5.33e-28	77.17	68	159	19314048	19313773	-1
AT1G08970.3	NW_003302553.1	231	24464547	29	2.3	68.97	84	112	4997835	4997912	3
AT1G08970.3	NW_003302549.1	231	24649197	59	3.02e-12	72.88	99	157	24360333	24360509	3
AT1G08970.3	NW_003302549.1	231	24649197	61	5.81e-10	72.13	97	157	24404746	24404928	1
AT1G08970.3	NW_003302549.1	231	24649197	74	2.05e-05	55.41	81	154	24402742	24402521	-3
AT1G08970.3	NW_003302549.1	231	24649197	48	0.81	56.25	112	159	24396193	24396336	1
AT1G08970.3	NW_003302550.1	231	25113588	29	2.5	68.97	84	112	2700858	2700781	-1
AT1G08970.4	NW_003302555.1	231	33132539	176	5.29e-87	98.86	1	176	3409931	3410458	2
AT1G08970.4	NW_003302555.1	231	33132539	231	7.15e-73	73.59	1	231	31134156	31134806	3
AT1G08970.4	NW_003302555.1	231	33132539	113	3.11e-56	92.92	63	175	29761059	29761394	3
AT1G08970.4	NW_003302551.1	231	21221946	108	4.90e-51	89.81	63	168	13893588	13893265	-1
AT1G08970.4	NW_003302548.1	231	22951293	96	5.93e-49	92.71	63	158	20967519	20967232	-1
AT1G08970.4	NW_003302548.1	231	22951293	94	1.41e-34	82.98	67	160	14017030	14016749	-3
AT1G08970.4	NW_003302548.1	231	22951293	93	6.81e-32	81.72	68	160	14028294	14028016	-1
AT1G08970.4	NW_003302548.1	231	22951293	89	6.40e-30	82.02	68	156	14038491	14038225	-1
AT1G08970.4	NW_003302548.1	231	22951293	93	1.90e-26	79.57	70	159	14013853	14013575	-3
AT1G08970.4	NW_003302548.1	231	22951293	78	7.10e-07	58.97	81	157	4615749	4615982	3
AT1G08970.4	NW_003302553.1	231	24464547	92	5.33e-28	77.17	68	159	19314048	19313773	-1
AT1G08970.4	NW_003302553.1	231	24464547	29	2.3	68.97	84	112	4997835	4997912	3
AT1G08970.4	NW_003302549.1	231	24649197	59	3.02e-12	72.88	99	157	24360333	24360509	3
AT1G08970.4	NW_003302549.1	231	24649197	61	5.81e-10	72.13	97	157	24404746	24404928	1
AT1G08970.4	NW_003302549.1	231	24649197	74	2.05e-05	55.41	81	154	24402742	24402521	-3
AT1G08970.4	NW_003302549.1	231	24649197	48	0.81	56.25	112	159	24396193	24396336	1
AT1G08970.4	NW_003302550.1	231	25113588	29	2.5	68.97	84	112	2700858	2700781	-1
AT1G56170.1	NW_003302555.1	199	33132539	186	1.66e-93	94.62	15	199	29760924	29761481	3
AT1G56170.1	NW_003302555.1	199	33132539	119	1.42e-55	89.92	65	181	3410135	3410491	2
AT1G56170.1	NW_003302555.1	199	33132539	117	2.58e-54	87.18	65	181	31134330	31134677	3
AT1G56170.1	NW_003302551.1	199	21221946	117	2.70e-53	85.47	65	179	13893570	13893220	-1
AT1G56170.1	NW_003302548.1	199	22951293	90	5.96e-48	94.44	65	154	20967501	20967232	-1
AT1G56170.1	NW_003302548.1	199	22951293	117	6.61e-37	74.36	65	180	14017024	14016674	-3
AT1G56170.1	NW_003302548.1	199	22951293	92	5.59e-32	82.61	65	156	14028291	14028016	-1
AT1G56170.1	NW_003302548.1	199	22951293	140	2.00e-31	65.00	65	191	14038488	14038069	-1
AT1G56170.1	NW_003302548.1	199	22951293	88	2.40e-27	81.82	68	155	14013838	14013575	-3
AT1G56170.1	NW_003302548.1	199	22951293	78	1.52e-07	60.26	77	153	4615749	4615982	3
AT1G56170.1	NW_003302553.1	199	24464547	91	4.53e-28	79.12	65	155	19314045	19313773	-1
AT1G56170.1	NW_003302553.1	199	24464547	46	1.6	54.35	80	125	4997835	4997948	3
AT1G56170.1	NW_003302549.1	199	24649197	69	5.49e-14	71.01	85	153	24360303	24360509	3
AT1G56170.1	NW_003302549.1	199	24649197	61	1.32e-10	72.13	93	153	24404746	24404928	1
AT1G56170.1	NW_003302549.1	199	24649197	74	1.53e-05	54.05	77	150	24402742	24402521	-3
AT1G56170.1	NW_003302549.1	199	24649197	45	0.69	57.78	108	152	24396193	24396327	1
AT1G56170.1	NW_003302549.1	199	24649197	29	7.4	72.41	77	103	24404477	24404563	2
AT1G56170.1	NW_003302549.1	199	24649197	68	9.2	48.53	75	133	9010710	9010913	3
AT1G56170.1	NW_003302550.1	199	25113588	27	1.5	74.07	80	106	2700858	2700778	-1
AT1G56170.2	NW_003302555.1	199	33132539	186	1.66e-93	94.62	15	199	29760924	29761481	3
AT1G56170.2	NW_003302555.1	199	33132539	119	1.42e-55	89.92	65	181	3410135	3410491	2
AT1G56170.2	NW_003302555.1	199	33132539	117	2.58e-54	87.18	65	181	31134330	31134677	3
AT1G56170.2	NW_003302551.1	199	21221946	117	2.70e-53	85.47	65	179	13893570	13893220	-1
AT1G56170.2	NW_003302548.1	199	22951293	90	5.96e-48	94.44	65	154	20967501	20967232	-1
AT1G56170.2	NW_003302548.1	199	22951293	117	6.61e-37	74.36	65	180	14017024	14016674	-3
AT1G56170.2	NW_003302548.1	199	22951293	92	5.59e-32	82.61	65	156	14028291	14028016	-1
AT1G56170.2	NW_003302548.1	199	22951293	140	2.00e-31	65.00	65	191	14038488	14038069	-1
AT1G56170.2	NW_003302548.1	199	22951293	88	2.40e-27	81.82	68	155	14013838	14013575	-3
AT1G56170.2	NW_003302548.1	199	22951293	78	1.52e-07	60.26	77	153	4615749	4615982	3
AT1G56170.2	NW_003302553.1	199	24464547	91	4.53e-28	79.12	65	155	19314045	19313773	-1
AT1G56170.2	NW_003302553.1	199	24464547	46	1.6	54.35	80	125	4997835	4997948	3
AT1G56170.2	NW_003302549.1	199	24649197	69	5.49e-14	71.01	85	153	24360303	24360509	3
AT1G56170.2	NW_003302549.1	199	24649197	61	1.32e-10	72.13	93	153	24404746	24404928	1
AT1G56170.2	NW_003302549.1	199	24649197	74	1.53e-05	54.05	77	150	24402742	24402521	-3
AT1G56170.2	NW_003302549.1	199	24649197	45	0.69	57.78	108	152	24396193	24396327	1
AT1G56170.2	NW_003302549.1	199	24649197	29	7.4	72.41	77	103	24404477	24404563	2
AT1G56170.2	NW_003302549.1	199	24649197	68	9.2	48.53	75	133	9010710	9010913	3
AT1G56170.2	NW_003302550.1	199	25113588	27	1.5	74.07	80	106	2700858	2700778	-1
AT3G48590.1	NW_003302551.1	234	21221946	209	3.76e-91	99.52	1	208	13893732	13893106	-1
AT3G48590.1	NW_003302548.1	234	22951293	166	4.80e-73	91.57	47	208	20967522	20967025	-1
AT3G48590.1	NW_003302548.1	234	22951293	116	9.46e-39	75.86	50	165	14017036	14016698	-3
AT3G48590.1	NW_003302548.1	234	22951293	134	2.67e-33	69.40	47	166	14028303	14027911	-1
AT3G48590.1	NW_003302548.1	234	22951293	176	1.26e-32	57.39	47	207	14038500	14038060	-1
AT3G48590.1	NW_003302548.1	234	22951293	112	2.05e-28	70.54	59	160	14013832	14013497	-3
AT3G48590.1	NW_003302548.1	234	22951293	79	2.12e-06	59.49	65	142	4615746	4615982	3
AT3G48590.1	NW_003302555.1	234	33132539	119	1.19e-54	87.39	47	165	31134309	31134659	3
AT3G48590.1	NW_003302555.1	234	33132539	119	1.27e-53	84.87	47	165	29761056	29761406	3
AT3G48590.1	NW_003302555.1	234	33132539	122	2.56e-52	84.43	47	165	3410114	3410473	2
AT3G48590.1	NW_003302553.1	234	24464547	98	1.11e-28	78.57	47	144	19314057	19313773	-1
AT3G48590.1	NW_003302553.1	234	24464547	46	0.36	56.52	69	114	4997835	4997948	3
AT3G48590.1	NW_003302549.1	234	24649197	59	2.41e-12	72.88	84	142	24360333	24360509	3
AT3G48590.1	NW_003302549.1	234	24649197	61	2.05e-09	70.49	82	142	24404746	24404928	1
AT3G48590.1	NW_003302549.1	234	24649197	58	3.26e-04	58.62	82	139	24402694	24402521	-3
AT3G48590.1	NW_003302550.1	234	25113588	27	1.3	74.07	69	95	2700858	2700778	-1
AT3G12480.1	NW_003302553.1	293	24464547	154	5.26e-77	87.66	129	282	4998835	4999293	1
AT3G12480.1	NW_003302553.1	293	24464547	53	5.26e-77	94.34	60	112	4998432	4998590	3
AT3G12480.1	NW_003302553.1	293	24464547	20	5.26e-77	100.00	112	131	4998677	4998736	2
AT3G12480.1	NW_003302553.1	293	24464547	86	4.70e-22	65.12	12	67	4997835	4998092	3
AT3G12480.1	NW_003302553.1	293	24464547	79	3.43e-08	55.70	8	86	19314012	19313776	-1
AT3G12480.1	NW_003302550.1	293	25113588	32	1.21e-21	90.62	36	67	8242595	8242500	-2
AT3G12480.1	NW_003302550.1	293	25113588	25	1.21e-21	92.00	13	37	8242770	8242696	-1
AT3G12480.1	NW_003302550.1	293	25113588	49	1.21e-21	57.14	64	112	8242416	8242294	-1
AT3G12480.1	NW_003302550.1	293	25113588	105	1.13e-20	59.05	12	84	2700858	2700550	-1
AT3G12480.1	NW_003302550.1	293	25113588	56	1.53e-16	76.79	61	112	2700356	2700189	-2
AT3G12480.1	NW_003302550.1	293	25113588	23	1.53e-16	73.91	112	134	2700097	2700029	-3
AT3G12480.1	NW_003302550.1	293	25113588	139	5.14e-08	50.36	157	282	2699867	2699475	-2
AT3G12480.1	NW_003302548.1	293	22951293	78	3.85e-10	61.54	9	86	14028255	14028022	-1
AT3G12480.1	NW_003302548.1	293	22951293	79	7.34e-10	62.03	8	86	20967468	20967232	-1
AT3G12480.1	NW_003302548.1	293	22951293	76	8.24e-09	57.89	9	84	14038452	14038225	-1
AT3G12480.1	NW_003302548.1	293	22951293	80	8.43e-08	60.00	9	88	14013811	14013572	-3
AT3G12480.1	NW_003302548.1	293	22951293	79	1.05e-07	55.70	8	86	14016991	14016755	-3
AT3G12480.1	NW_003302548.1	293	22951293	73	2.60e-06	61.64	9	80	4615749	4615967	3
AT3G12480.1	NW_003302551.1	293	21221946	79	4.74e-10	62.03	8	86	13893537	13893301	-1
AT3G12480.1	NW_003302555.1	293	33132539	78	4.74e-10	62.82	9	86	3410171	3410404	2
AT3G12480.1	NW_003302555.1	293	33132539	78	6.52e-10	62.82	9	86	31134366	31134599	3
AT3G12480.1	NW_003302555.1	293	33132539	78	1.11e-09	61.54	9	86	29761113	29761346	3
AT5G43250.1	NW_003302548.1	130	22951293	130	6.00e-74	93.85	1	130	4615716	4616105	3
AT5G43250.1	NW_003302548.1	130	22951293	93	6.92e-08	53.76	11	95	14028258	14027983	-1
AT5G43250.1	NW_003302548.1	130	22951293	79	2.45e-07	59.49	11	89	20967468	20967235	-1
AT5G43250.1	NW_003302548.1	130	22951293	79	2.30e-06	59.49	11	89	14013814	14013581	-3
AT5G43250.1	NW_003302548.1	130	22951293	79	5.16e-06	56.96	11	89	14016991	14016758	-3
AT5G43250.1	NW_003302548.1	130	22951293	76	1.20e-05	53.95	11	86	14038455	14038231	-1
AT5G43250.1	NW_003302548.1	130	22951293	64	1.2	51.56	12	74	100413	100222	-1
AT5G43250.1	NW_003302555.1	130	33132539	78	4.31e-08	60.26	12	89	29761113	29761343	3
AT5G43250.1	NW_003302555.1	130	33132539	78	1.37e-07	58.97	12	89	31134366	31134596	3
AT5G43250.1	NW_003302555.1	130	33132539	78	3.37e-07	58.97	12	89	3410171	3410401	2
AT5G43250.1	NW_003302551.1	130	21221946	79	2.04e-07	59.49	11	89	13893537	13893304	-1
AT5G43250.1	NW_003302553.1	130	24464547	91	3.60e-05	53.85	2	88	19314048	19313782	-1
AT5G43250.1	NW_003302553.1	130	24464547	86	4.5	44.19	15	70	4997835	4998092	3
AT5G43250.1	NW_003302553.1	130	24464547	64	4.7	50.00	12	74	18303041	18302850	-2
AT5G43250.1	NW_003302549.1	130	24649197	64	0.58	50.00	12	74	13996376	13996185	-2
AT5G43250.1	NW_003302549.1	130	24649197	68	6.5	42.65	31	93	4438928	4438758	-2
AT5G50480.1	NW_003302548.1	202	22951293	159	1.09e-85	96.86	17	175	14017102	14016626	-3
AT5G50480.1	NW_003302548.1	202	22951293	129	2.61e-38	74.42	25	150	14028345	14027965	-1
AT5G50480.1	NW_003302548.1	202	22951293	95	1.44e-37	85.26	38	132	20967516	20967232	-1
AT5G50480.1	NW_003302548.1	202	22951293	171	2.41e-36	66.67	17	182	14038539	14038069	-1
AT5G50480.1	NW_003302548.1	202	22951293	116	1.06e-35	71.55	35	150	14013871	14013530	-3
AT5G50480.1	NW_003302548.1	202	22951293	79	6.27e-07	56.96	54	131	4615746	4615982	3
AT5G50480.1	NW_003302551.1	202	21221946	155	1.31e-39	65.16	38	181	13893585	13893121	-1
AT5G50480.1	NW_003302555.1	202	33132539	99	2.09e-37	82.83	39	134	29761056	29761352	3
AT5G50480.1	NW_003302555.1	202	33132539	99	2.37e-35	80.81	39	134	3410114	3410410	2
AT5G50480.1	NW_003302555.1	202	33132539	100	2.58e-35	81.00	38	134	31134306	31134605	3
AT5G50480.1	NW_003302553.1	202	24464547	117	5.27e-35	71.79	17	133	19314096	19313773	-1
AT5G50480.1	NW_003302549.1	202	24649197	59	4.17e-13	72.88	73	131	24360333	24360509	3
AT5G50480.1	NW_003302549.1	202	24649197	73	1.67e-08	60.27	72	144	24404749	24404967	1
AT5G50480.1	NW_003302549.1	202	24649197	74	3.21e-05	52.70	55	128	24402742	24402521	-3
AT5G50480.1	NW_003302549.1	202	24649197	18	4.4	88.89	55	72	24404477	24404530	2
AT5G50480.1	NW_003302550.1	202	25113588	46	3.55e-06	63.04	19	64	20875383	20875246	-1
AT5G38140.1	NW_003302549.1	195	24649197	126	3.39e-47	73.02	76	177	24360303	24360680	3
AT5G38140.1	NW_003302549.1	195	24649197	77	1.13e-19	58.44	39	84	24359929	24360159	1
AT5G38140.1	NW_003302549.1	195	24649197	41	1.13e-19	56.10	1	41	24359775	24359855	3
AT5G38140.1	NW_003302549.1	195	24649197	68	1.15e-18	70.59	86	153	24404752	24404955	1
AT5G38140.1	NW_003302549.1	195	24649197	68	3.24e-12	60.29	86	153	24402688	24402485	-3
AT5G38140.1	NW_003302549.1	195	24649197	29	3.24e-12	62.07	147	175	24402375	24402289	-1
AT5G38140.1	NW_003302549.1	195	24649197	79	7.94e-05	51.90	98	176	24396190	24396408	1
AT5G38140.1	NW_003302549.1	195	24649197	61	3.4	50.82	103	163	21675676	21675852	1
AT5G38140.1	NW_003302549.1	195	24649197	28	6.0	82.14	68	93	24404477	24404560	2
AT5G38140.1	NW_003302548.1	195	22951293	112	2.54e-25	69.64	33	144	14017090	14016758	-3
AT5G38140.1	NW_003302548.1	195	22951293	98	4.41e-23	69.39	50	144	20967525	20967235	-1
AT5G38140.1	NW_003302548.1	195	22951293	96	3.05e-22	66.67	48	143	14038509	14038225	-1
AT5G38140.1	NW_003302548.1	195	22951293	97	9.21e-22	68.04	48	143	14028312	14028028	-1
AT5G38140.1	NW_003302548.1	195	22951293	119	1.91e-20	58.82	53	166	14013862	14013506	-3
AT5G38140.1	NW_003302555.1	195	33132539	98	3.26e-24	71.43	50	144	29761053	29761343	3
AT5G38140.1	NW_003302555.1	195	33132539	97	6.15e-22	69.07	51	144	3410114	3410401	2
AT5G38140.1	NW_003302555.1	195	33132539	97	3.57e-21	68.04	51	144	31134309	31134596	3
AT5G38140.1	NW_003302551.1	195	21221946	97	4.25e-23	69.07	51	144	13893591	13893304	-1
AT5G38140.1	NW_003302553.1	195	24464547	97	4.01e-19	64.95	48	143	19314066	19313782	-1
AT5G50490.1	NW_003302548.1	186	22951293	185	3.05e-73	77.84	1	177	14038560	14038027	-1
AT5G50490.1	NW_003302548.1	186	22951293	156	2.89e-60	80.13	5	158	14028357	14027911	-1
AT5G50490.1	NW_003302548.1	186	22951293	163	3.38e-35	63.80	8	161	14017102	14016626	-3
AT5G50490.1	NW_003302548.1	186	22951293	151	5.05e-30	58.28	17	167	14013871	14013449	-3
AT5G50490.1	NW_003302548.1	186	22951293	84	3.32e-28	83.33	31	114	20967483	20967232	-1
AT5G50490.1	NW_003302548.1	186	22951293	92	6.69e-06	53.26	23	113	4615707	4615982	3
AT5G50490.1	NW_003302553.1	186	24464547	113	5.91e-52	86.73	5	117	19314105	19313767	-1
AT5G50490.1	NW_003302553.1	186	24464547	27	0.52	59.26	139	165	19313717	19313637	-2
AT5G50490.1	NW_003302553.1	186	24464547	36	9.7	52.78	36	71	22814879	22814986	2
AT5G50490.1	NW_003302551.1	186	21221946	99	1.08e-29	78.79	21	116	13893591	13893295	-1
AT5G50490.1	NW_003302555.1	186	33132539	99	3.01e-29	75.76	21	116	29761056	29761352	3
AT5G50490.1	NW_003302555.1	186	33132539	154	7.90e-29	59.74	20	167	31134306	31134755	3
AT5G50490.1	NW_003302555.1	186	33132539	99	1.31e-27	74.75	21	116	3410114	3410410	2
AT5G50490.1	NW_003302549.1	186	24649197	59	2.26e-11	66.10	55	113	24360333	24360509	3
AT5G50490.1	NW_003302549.1	186	24649197	60	1.77e-08	70.00	54	113	24404749	24404928	1
AT5G50490.1	NW_003302549.1	186	24649197	57	0.010	59.65	54	110	24402691	24402521	-3
AT5G50490.1	NW_003302550.1	186	25113588	32	6.2	68.75	15	46	20875341	20875246	-1
